aff_internal_id,aff_scopus_id,dc:identifiers
5,60006380,SCOPUS_ID:85041454063
5,60006380,SCOPUS_ID:85030838433
5,60006380,SCOPUS_ID:85057566229
5,60006380,SCOPUS_ID:85055616749
5,60006380,SCOPUS_ID:85053010978
5,60006380,SCOPUS_ID:85048990103
5,60006380,SCOPUS_ID:85041951605
5,60006380,SCOPUS_ID:85041563442
5,60006380,SCOPUS_ID:85039939174
5,60006380,SCOPUS_ID:85029915634
5,60006380,SCOPUS_ID:85051304223
5,60006380,SCOPUS_ID:85037729722
5,60006380,SCOPUS_ID:85037125495
5,60006380,SCOPUS_ID:85036538123
5,60006380,SCOPUS_ID:85035321618
5,60006380,SCOPUS_ID:85032662805
5,60006380,SCOPUS_ID:85032570463
5,60006380,SCOPUS_ID:85031913740
5,60006380,SCOPUS_ID:85023164413
5,60006380,SCOPUS_ID:85018966889
5,60006380,SCOPUS_ID:85018864492
5,60006380,SCOPUS_ID:85017154342
5,60006380,SCOPUS_ID:85050241448
5,60006380,SCOPUS_ID:85028772078
5,60006380,SCOPUS_ID:85040942872
5,60006380,SCOPUS_ID:85034842979
5,60006380,SCOPUS_ID:85032665884
5,60006380,SCOPUS_ID:85029679624
5,60006380,SCOPUS_ID:85032640169
5,60006380,SCOPUS_ID:85029455175
5,60006380,SCOPUS_ID:85021725056
5,60006380,SCOPUS_ID:85021109953
5,60006380,SCOPUS_ID:84988377955
5,60006380,SCOPUS_ID:85033397183
5,60006380,SCOPUS_ID:85032393285
5,60006380,SCOPUS_ID:85028014206
5,60006380,SCOPUS_ID:85022331075
5,60006380,SCOPUS_ID:85008400052
5,60006380,SCOPUS_ID:85029904991
5,60006380,SCOPUS_ID:85030308539
5,60006380,SCOPUS_ID:85045956108
5,60006380,SCOPUS_ID:85031104940
5,60006380,SCOPUS_ID:85020454138
5,60006380,SCOPUS_ID:85027728639
5,60006380,SCOPUS_ID:85029417987
5,60006380,SCOPUS_ID:85023775456
5,60006380,SCOPUS_ID:85026327419
5,60006380,SCOPUS_ID:85026913154
5,60006380,SCOPUS_ID:85021711942
5,60006380,SCOPUS_ID:85016035259
5,60006380,SCOPUS_ID:85014042752
5,60006380,SCOPUS_ID:85020875019
5,60006380,SCOPUS_ID:84990963916
5,60006380,SCOPUS_ID:85028025956
5,60006380,SCOPUS_ID:85019886472
5,60006380,SCOPUS_ID:85057263180
5,60006380,SCOPUS_ID:85027151761
5,60006380,SCOPUS_ID:85017377717
5,60006380,SCOPUS_ID:85019882118
5,60006380,SCOPUS_ID:84961741495
5,60006380,SCOPUS_ID:85019167058
5,60006380,SCOPUS_ID:85019131504
5,60006380,SCOPUS_ID:85018452329
5,60006380,SCOPUS_ID:85017382714
5,60006380,SCOPUS_ID:85017314691
5,60006380,SCOPUS_ID:85020130369
5,60006380,SCOPUS_ID:85020095251
5,60006380,SCOPUS_ID:85017508335
5,60006380,SCOPUS_ID:85014115309
5,60006380,SCOPUS_ID:85010720862
5,60006380,SCOPUS_ID:85010451220
5,60006380,SCOPUS_ID:85009960688
5,60006380,SCOPUS_ID:85040350051
5,60006380,SCOPUS_ID:84992390868
5,60006380,SCOPUS_ID:85015082197
5,60006380,SCOPUS_ID:85013979294
5,60006380,SCOPUS_ID:84994083574
5,60006380,SCOPUS_ID:85014076733
5,60006380,SCOPUS_ID:85013755191
5,60006380,SCOPUS_ID:85012245129
5,60006380,SCOPUS_ID:85026629026
5,60006380,SCOPUS_ID:84994876960
5,60006380,SCOPUS_ID:85014369368
5,60006380,SCOPUS_ID:85000347719
5,60006380,SCOPUS_ID:85010065004
5,60006380,SCOPUS_ID:85002829313
5,60006380,SCOPUS_ID:85010931938
5,60006380,SCOPUS_ID:85014330307
5,60006380,SCOPUS_ID:85052168831
5,60006380,SCOPUS_ID:85038953419
5,60006380,SCOPUS_ID:85031927237
5,60006380,SCOPUS_ID:85024107886
5,60006380,SCOPUS_ID:85021812009
5,60006380,SCOPUS_ID:85017562139
5,60006380,SCOPUS_ID:85012237724
5,60006380,SCOPUS_ID:85011995284
5,60006380,SCOPUS_ID:85010416873
5,60006380,SCOPUS_ID:85009769617
5,60006380,SCOPUS_ID:85007545317
5,60006380,SCOPUS_ID:85007236814
5,60006380,SCOPUS_ID:85006263923
5,60006380,SCOPUS_ID:84993968445
5,60006380,SCOPUS_ID:84984787876
5,60006380,SCOPUS_ID:84994103566
5,60006380,SCOPUS_ID:85006164687
5,60006380,SCOPUS_ID:85006124976
5,60006380,SCOPUS_ID:85006115740
5,60006380,SCOPUS_ID:85004007210
5,60006380,SCOPUS_ID:85002706140
5,60006380,SCOPUS_ID:84991107649
5,60006380,SCOPUS_ID:84984713096
5,60006380,SCOPUS_ID:84996548611
5,60006380,SCOPUS_ID:84994727971
5,60006380,SCOPUS_ID:84994750448
5,60006380,SCOPUS_ID:84988884419
5,60006380,SCOPUS_ID:84978472362
5,60006380,SCOPUS_ID:84994251969
5,60006380,SCOPUS_ID:84980349576
5,60006380,SCOPUS_ID:84979523840
5,60006380,SCOPUS_ID:84992317454
5,60006380,SCOPUS_ID:84994388447
5,60006380,SCOPUS_ID:84985027767
5,60006380,SCOPUS_ID:84969593692
5,60006380,SCOPUS_ID:84980038914
5,60006380,SCOPUS_ID:84979209123
5,60006380,SCOPUS_ID:84975699587
5,60006380,SCOPUS_ID:84966283614
5,60006380,SCOPUS_ID:84965020937
5,60006380,SCOPUS_ID:84964928007
5,60006380,SCOPUS_ID:84964879265
5,60006380,SCOPUS_ID:84959260472
5,60006380,SCOPUS_ID:84979645497
5,60006380,SCOPUS_ID:85006765674
5,60006380,SCOPUS_ID:84982797701
5,60006380,SCOPUS_ID:84979996726
5,60006380,SCOPUS_ID:84978387836
5,60006380,SCOPUS_ID:84977643488
5,60006380,SCOPUS_ID:84975062677
5,60006380,SCOPUS_ID:84962282420
5,60006380,SCOPUS_ID:84962268141
5,60006380,SCOPUS_ID:84980384657
5,60006380,SCOPUS_ID:84976600655
5,60006380,SCOPUS_ID:84976494266
5,60006380,SCOPUS_ID:84969753139
5,60006380,SCOPUS_ID:84974559414
5,60006380,SCOPUS_ID:84974627295
5,60006380,SCOPUS_ID:84973896983
5,60006380,SCOPUS_ID:84962233329
5,60006380,SCOPUS_ID:84961601682
5,60006380,SCOPUS_ID:84971504930
5,60006380,SCOPUS_ID:84965157095
5,60006380,SCOPUS_ID:85015131433
5,60006380,SCOPUS_ID:84974578064
5,60006380,SCOPUS_ID:84963831046
5,60006380,SCOPUS_ID:84964908542
5,60006380,SCOPUS_ID:85009877523
5,60006380,SCOPUS_ID:84963799337
5,60006380,SCOPUS_ID:84963776198
5,60006380,SCOPUS_ID:84965028238
5,60006380,SCOPUS_ID:84964307873
5,60006380,SCOPUS_ID:84964222501
5,60006380,SCOPUS_ID:84963831414
5,60006380,SCOPUS_ID:84955488348
5,60006380,SCOPUS_ID:84964917426
5,60006380,SCOPUS_ID:84960453902
5,60006380,SCOPUS_ID:84962050315
5,60006380,SCOPUS_ID:84961878181
5,60006380,SCOPUS_ID:84958106608
5,60006380,SCOPUS_ID:84958581220
5,60006380,SCOPUS_ID:84962808586
5,60006380,SCOPUS_ID:84958568165
